"belgradeblockchainweek.com event submissions page). Twitter: @ethbelgrade. LinkedIn: eth-belgrade.",https://ethbelgrade.rs/,https://confirmed.events/event/evt-ull56vzzdohu,"https://ethbelgrade.rs/ | https://belgradeblockchainweek.com/ | https://belgradeblockchainweek.com/events | https://taikai.network/en/ethbelgrade/hackathons/eth-belgrade-hackathon-3/overview | https://web3voyager.com/event/eth-belgrade-2026 | https://www.linkedin.com/posts/eth-belgrade_hey-hackers-the-hackathon-prize-pool-activity-7181985918847705089-vM_b",42,"Email petar@ethbelgrade.rs introducing Mobula as a data/DeFi API sponsor interested in the 2027 hackathon bounty track. Reference the 2026 edition as context. Ask for 2027 sponsor deck when available. Monitor @ethbelgrade on X for 2027 announcement.","2026 edition is in 7 days - impossible window for sponsorship. Reach out to petar@ethbelgrade.rs now to get on their 2027 radar."
European AI Hackathon (OpenHackathons / AI:AT Austria),2026-10-06,2026-10-29,"Vienna (hybrid, with on-site days Oct 27-29)",Austria,"Hackathon (hybrid, multi-week)",pro,Confirmed,"No published sponsor tiers or bounty model. Event is publicly funded (EuroHPC JU grant No 101253078 / Horizon Europe). Organizers are HPC research centers. Private bounty sponsor challenge track does NOT exist in current format.",Free for participants (publicly funded). No sponsor tier pricing published.,No,"Daniel Pepl, MAS MBA - Head of Marketing & Communications, AI Factory Austria AI:AT - daniel.pepl@ai-at.eu - +43 664 6207805. Training contact: training@ai-at.eu.",https://events.asc.ac.at/event/307/,https://www.openhackathons.org/s/siteevent/a0CUP00003yKxcX2AS/se000475,"https://ai-at.eu/en/training/european-ai-hackathon/ | https://events.asc.ac.at/event/307/ | https://www.hlrs.de/training/2026/hack-ai | https://hpc-portal.eu/training/short-courses/european-ai-hackathon | https://ai-at.eu/en/news/largest-ai-factory-hackathon-brings-together-industry-talent-and-europes-ai-infrastructure/",30,"Do not pursue. This event has no commercial sponsor/bounty model - it is a publicly funded EU HPC research program. Mobula's DeFi/data/trading product has no natural fit with the HPC AI optimization theme.","Application deadline August 31, 2026 (13 days from today). Very imminent for participant registration, but sponsor model does not exist so this deadline is irrelevant for Mobula."
ETHIndia 2026,2026-09-18,2026-09-20,Bengaluru,India,Hackathon,pro,Unverified,"Bounty/challenge tier. ETHGlobal's standard model: sponsor defines a challenge, hackers select up to 3 partner prizes on submission, sponsor judges their own track.","Typical ETHGlobal bounty: $5,000-$15,000 USD per sponsor track",Yes,"sponsor@ethglobal.co (ETHGlobal general sponsor contact). No ETHIndia-specific 2026 contact found.",https://ethglobal.com/events,N/A,"https://ethglobal.com/events, https://ethindia.co/, https://ethindia-villa.devfolio.co/, https://ethindia2024.devfolio.co/prizes, https://forkoff.xyz/events/eth-india-2026, https://blockcritics.com/blog/storystream/ethglobal-announces-2026-hackathon-schedule-with-events-in-istanbul-bangalore-and-toronto-8/",28,"Do NOT pursue ETHIndia Bangalore 2026 - it has no confirmed 2026 edition. Instead, evaluate ETHGlobal Mumbai 2026 (Nov 6-8, confirmed on ethglobal.com/events) as the real India ETHGlobal opportunity. Contact ETHGlobal directly via ethglobal.com for Mumbai 2026 sponsor application.","Unknown - no sponsor application deadline found. ETHGlobal Mumbai 2026 (Nov 6-8) is the confirmed India event."
ETHGlobal New York 2026,2026-06-12,2026-06-14,"New York",USA,IRL Hackathon,pro,No hackathon,"Bounty sponsor model: each sponsor defines their own challenge/prize track. Minimum budget entry via form at $15-30K range.","$15,000-$20,000 minimum per sponsor track (ENS paid $20K top, smallest visible sponsors $5K). Out of Mobula's 2-10K EUR budget.",Yes,"No direct email available. Sponsor inquiry form at: https://ethglobal.com/events/ethonline2026/sponsor. ETHGlobal LinkedIn: linkedin.com/company/ethglobal. Twitter/X: @ETHGlobal.",https://ethglobal.com/events/newyork2026,https://ethglobal.com/events/newyork2026,"https://ethglobal.com/events/newyork2026 | https://ethglobal.com/events | https://forkoff.xyz/events/eth-nyc-2026 | https://ethglobal.com/events/ethonline2026/sponsor | https://cryptobriefing.com/ethglobal-nyc-hackathon-june-2026/",28,"WAIT - 2026 edition is past. Watch for ETHGlobal New York 2027 announcement (expected Jun 2027 based on annual pattern). When announced, evaluate budget fit: ETHGlobal sponsor floor appears $5K+. Alternative: target ETHGlobal Tokyo (Sep 25-27, 2026) or ETHGlobal Mumbai (Nov 6-8, 2026).","No action possible now. 2026 edition is past. 2027 edition unannounced - monitor ethglobal.com/events for announcement, expected late 2026 or early 2027."
TOKEN2049 Dubai 2027,2027-04-21,2027-04-22,Dubai,UAE,Conference with side-event hackathons (no official built-in hackathon for Dubai edition),pro,Likely,"Tiered conference sponsorship (Title/Platinum/Gold/Silver) via sponsors@token2049.com. No bounty/challenge sponsor tier on the main event. Hackathon sponsorship would require engaging a separate side-event organizer during TOKEN2049 week.","Sponsor packages not publicly priced; inferred well above 10,000 EUR for named tiers. Side-event hackathon bounty sponsorship cost unknown.",None confirmed,"sponsors@token2049.com (official sponsorship inquiries) | Sponsorship inquiry form: https://www.token2049.com/dubai/sponsorship-inquiry",https://www.token2049.com/dubai,https://token2049.com/dubai/tickets,"https://www.token2049.com/dubai | https://www.token2049.com/dubai/partners | https://token2049.com/singapore/2049-origins | https://crypto.news/token2049-dubai-pushed-to-2027-over-security-concerns/ | https://www.token2049.com/dubai/announcement | https://token2049.events/",28,"LOW PRIORITY for Mobula's bounty/jury goal. The main event does not have a hackathon component. If pursuing: (1) Monitor TOKEN2049 week Dubai 2027 side-event listings (token2049.events) starting Q1 2027 for any hackathon organizers; (2) Watch whether '2049 Origins' format gets extended to Dubai edition - contact sponsors@token2049.com to ask explicitly.","No urgency. Event is April 2027, 8 months away. No hackathon component to register for. Conference sponsorship packages likely open now but no deadline published."
European Blockchain Convention 12 + Hackathon 2026,2026-09-16,2026-09-17,Barcelona,Spain,Conference + unconfirmed hackathon,pro,Unverified,"Tiered sponsor (Platinum/Diamond/Gold/Silver/Bronze) confirmed for conference. Hackathon-specific bounty/challenge sponsor track: not confirmed for 2026 edition.",N/A,Unknown,"Sponsorship inquiry form: https://share-eu1.hsforms.com/19Iqj5fE6QNioxsODGCHX-A2b2y1g | Contact page: https://eblockchainconvention.com/contact-us-ebc12/ | Twitter: @EBlockchainCon",https://eblockchainconvention.com/european-blockchain-convention-12/,https://www.tickettailor.com/events/europeanblockchainconvention/1927550,"https://eblockchainconvention.com/european-blockchain-convention-12/ | https://ebc-hackathon.devpost.com/ | https://eblockchainconvention.com/hackathon/ | https://en.cryptonomist.ch/2026/07/30/european-blockchain-convention-2026/ | https://beincrypto.com/european-blockchain-convention-barcelona/",28,"Skip 2026. Monitor for EBC13 (likely Sept 2027): follow @EBlockchainCon on X and check eblockchainconvention.com/hackathon/ in Q1 2027 for whether they announce a multi-sponsor hackathon model.","Conference Sept 16-17, 2026 - 28 days away. Hackathon effectively too late for 2026 edition. No sponsorship deadline published."
BärnHäckt 2026,2026-08-21,2026-08-23,Bern,Switzerland,"Hackathon (48h, in-person)",mixed,Confirmed,"Challenge submission model: CHF 100 listing fee + CHF 500 if a team works on your challenge + optional CHF 900 Challenge+ package (logo, social media, website link). Separate sponsor tiers (Gold/Silver/Location/Network) with full PDF deck available on request via engage@bernhackt.ch.","CHF 100-1400 for challenge submission (well below 2,000 EUR budget). Gold sponsorship tier pricing in PDF on request.",Not explicitly confirmed,"engage@bernhackt.ch | Initiative BärnHäckt c/o GARAIO AG, Laupenstrasse 45, 3001 Bern | +41 58 310 70 00 | Stephan Marti (CKO, Noser), +41 79 785 08 54",https://www.bernhackt.ch/,"https://bernhackt.ch/signup/challenge (challenge) | https://bernhackt.ch/signup/sponsor (sponsor) | https://bernhackt.ch/signup/hacker (hacker)","https://www.bernhackt.ch/ | https://www.bernhackt.ch/signup/challenge | https://www.bernhackt.ch/signup/sponsor | https://www.noser.com/events/baern-haeckt-2026-wir-sind-dabei/ | https://www.bfh.ch/de/aktuell/fachveranstaltungen/baern-haeckt-2026/ | https://eventfrog.ch/de/p/wissenschaft-und-technik/baernhaeckt-fuer-eine-smarte-starke-digitale-schweiz-7477641709066661373.html",22,"Skip 2026 edition (too late). Add to watchlist for 2027: reach out to engage@bernhackt.ch in January 2027. However, low priority given no DeFi/fintech/blockchain track and student-heavy audience.","CRITICAL: Event starts Aug 21, 2026 (2 days). All 2026 deadlines have passed. If pursuing, target 2027 edition - contact engage@bernhackt.ch in Q1 2027."
ETHIndia 2026 (Bangalore ETHGlobal + Devfolio),2026-09-18,2026-09-20,Bangalore,India,Hackathon,pro,Unverified,"Sponsor-bounty model via Devfolio: each sponsor defines their own challenge, distributes prize pool directly. ETHIndia 2024 had 26 sponsors and a $175K total pool; individual bounties ranged from $1K to $20K. No 2026 sponsor application page found.","$2,000-$10,000 USD per bounty (ETHIndia 2024 bounties ranged $1K-$20K; mid-tier sponsors paid $3K-$8.5K)",Yes,"crew@forkoff.xyz (third-party activation agency Forkoff, not official ETHIndia). Official ETHGlobal sponsor contact: sponsors@ethglobal.com (inferred from past events).",https://ethindia.co/,https://ethindia.devfolio.co/,"https://ethglobal.com/events, https://ethindia-villa.devfolio.co/, https://ethindia2024.devfolio.co/prizes, https://forkoff.xyz/events/eth-india-2026, https://blockcritics.com/blog/storystream/ethglobal-announces-2026-hackathon-schedule-with-events-in-istanbul-bangalore-and-toronto-8/",22,"Do NOT pursue ETHIndia Bangalore 2026 - it has no confirmed 2026 edition. Instead, evaluate ETHGlobal Mumbai 2026 (Nov 6-8, confirmed on ethglobal.com/events) as the real India ETHGlobal opportunity.","Unknown - no sponsor application deadline found."
"{Tech: Europe} Paris AI Hackathon",TBC,TBC,Paris,France,"Hackathon (full-weekend format, Sat-Sun)",mixed,Unverified,"Tech/infrastructure partners provide credits and are listed as sponsors. 'Challenge host' / track partner role mentioned in blog but no formal tiered bounty-sponsor deck found. Contact: hello@techeurope.io to discuss.","EUR 5,000 prize pool (past edition); sponsor tier not publicly priced",Likely,"hello@techeurope.io (sponsorship/partnership contact per blog.techeurope.io); Discord: discord.gg/brSqTjJVdh",https://luma.com/paris-hackathon,https://luma.com/paris-hackathon,"https://luma.com/paris-hackathon | https://techeurope.io/ | https://blog.techeurope.io/p/hackathon-paris-1 | https://blog.techeurope.io/p/tech-europe-openai-partnership | https://blog.techeurope.io/p/tech-europe-biggest-ai-hackathon-ever",22,"Email hello@techeurope.io to ask about next Paris edition date and challenge-host sponsorship terms. Monitor luma.com/tech-europe and techeurope.io for announcement. Do not allocate budget until date confirmed.","None - no next edition announced. Reach out proactively to hello@techeurope.io to be informed when Paris date is set."
Energy Data Hackdays 2026 (Autumn Brugg),2026-09-10,2026-09-11,Brugg-Windisch,Switzerland,in-person hackathon,mixed,Confirmed,"Challenge Owner model: sponsors submit a real-world problem, act as domain expert/mentor on-site, and are featured as Challenge Owner throughout the event. Also Main Partner (financial/brand visibility) and Data Partner tiers. Non-partners can submit challenges but inclusion is not guaranteed.",No public pricing for challenge/sponsorship tiers. Contact info@edih.ch.,Yes,"info@edih.ch (Energy Data Innovation Hub, main contact for partnership and challenge submission). Become-a-partner form: https://www.energydatahackdays.ch/become-a-partner",https://www.energydatahackdays.ch/,https://www.energydatahackdays.ch/shop,"https://hightechzentrum.ch/en/event/energie-data-hackdays-autumn-2026 | https://www.energydatahackdays.ch/challenges | https://www.energydatahackdays.ch/partner | https://www.energydatahackdays.ch/become-a-partner",22,"Low priority for Mobula. The domain mismatch (energy data vs DeFi/fintech) is fundamental, and the deadline has almost certainly passed for challenge submissions. If exploring anyway, email info@edih.ch to ask if challenge partner slots are still open and request the sponsor deck.","CRITICAL: Event is Sep 10-11, 2026 - only 22 days away. The 2026 challenges page already lists 13 confirmed challenges, strongly suggesting the challenge submission window has closed."
The Bucharest Hackathon,2026-04-25,2026-04-26,Bucharest,Romania,in-person hackathon,mixed,No hackathon,"Partner/bounty sponsor model with tiered sponsors. Contact sponsorship@bucharesthackathon.com. Partners provide APIs and bounty challenges (confirmed: Alchemy, MultiversX, AWS, Dune Analytics, The Graph).","Sponsor/bounty partner cost unknown; participant attendance is free. Past editions had prize pools of $20k (2023), $30k (2024), EUR 50k+ (2026).",Yes,"sponsorship@bucharesthackathon.com (sponsorship), info@bucharesthackathon.com (general)",https://thebucharesthackathon.com/,https://luma.com/pwtt2fhh,"https://thebucharesthackathon.com/, https://luma.com/pwtt2fhh, https://thebucharesthackathon.com/previous-editions.html, https://thebucharesthackathon.com/resources.html, https://x.com/bucharestHack",22,"No immediate action possible. Monitor @bucharestHack on X and thebucharesthackathon.com for 2027 edition announcement (expected Q1 2027). If interested in future edition, reach out to sponsorship@bucharesthackathon.com speculatively.","No upcoming edition to target. Would need to wait for 2027 edition announcement."
ETHBarcelona 2026,2026-07-05,2026-07-09,Barcelona,Spain,conference+hackathon,pro,Unverified,"bounty-per-challenge",Unknown - no verified 2026 contact found. Prior editions: check @eth_barcelona on X or https://t.me/ethbarcelona for organizer outreach.,Unknown,"No verified 2026 contact found. Past editions: check @eth_barcelona on X or https://t.me/ethbarcelona for organizer outreach.",https://www.ethbarcelona.com/,N/A,"https://www.ethbarcelona.com/, https://ethereum.org/community/events/, https://twitter.com/eth_barcelona",18,"Do not commit budget. Monitor @eth_barcelona on X and https://t.me/ethbarcelona for a 2026 return announcement. If an announcement appears, reassess immediately - the sponsor bounty model and audience fit are strong in principle.","None - no open registration or sponsorship deadline found"
"{Tech: Europe} x VEED Hackathon | The Summer Lock-In London",2026-08-22,2026-08-22,London,UK,"Hackathon (1-day, in-person, capped at ~80 participants)",mixed,Confirmed,"Tech-partner credit model: sponsors provide API credits to participants rather than a defined cash bounty. No tiered sponsor deck (Title/Gold/Silver/Bounty) found publicly. General contact for partnerships is hello@techeurope.io. No explicit 'submit a challenge' or bounty-sponsor track identified for this event format.",Not publicly listed (approval-gated free to attend based on past events),Unclear,"hello@techeurope.io (general/partnerships contact from blog); Twitter/X: @techeurope_",https://luma.com/london-summer-lock-in,https://luma.com/london-summer-lock-in,"https://luma.com/london-summer-lock-in, https://techeurope.io/, https://luma.com/tech-europe, https://blog.techeurope.io/p/tech-europe-openai-partnership, https://blog.techeurope.io/p/tech-europe-biggest-ai-hackathon-ever",18,"Skip this London edition (3 days away, oversubscribed, incompatible sponsor model). Monitor for the bigger 'Big Berlin Hack' (Oct 11-12, 300+ builders, 2 days) which may offer a real bounty-sponsor track at scale. Contact hello@techeurope.io to ask about sponsor/bounty options for future editions.","CRITICAL: Event is in 3 days (Aug 22). Registration is effectively closed for this edition. Already oversubscribed (175+ for 80 spots)."
